POPS_Number,Name,Street,Zipcode,Latitude,Longitude,Borough,Borocode,Type,Location,Open_Hours,Seating,Seating_and_Tables,Food_Service,Art,Restrooms,Special_Amenities,Special_Amenities_Description,Signage,Landscaping_Description,Landscaping,Physically_Disabled,Year_Completed,Construction_Status,Size_Required,Community Board,Developer,Building_Architect,Principal_Public_Space_Designer,XCoordinate,YCoordinate,Council District,Census Tract,BIN,BBL,NTA,Tax_Block_Number,Tax_Lot_Number
M010029,NULL,NEW YORK PLAZA,10004,-74.012021,40.702153,Manhattan,1,Arcade; Plaza,"Full block bounded by Whitehall, Water, Broad, and South Streets",24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1967,Completed,Arcade 4721.20 sf; Plaza 35264.00 sf,1,NULL,William Lescaze & Associates,William Lescaze & Associates; William Leggio Architects (for alteration in 2002),980917,195090,1,9,1000005,1000047501,Battery Park City-Lower Manhattan,4,7501
M060059,Libya House,EAST 48 STREET,10017,-73.968588,40.753512,Manhattan,1,Arcade; Plaza,North side of East 48th Street between First and Second Avenues,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1984,Completed,Arcade 1123.66 sf; Plaza 1942.00 sf,6,309-315 East 48th Street Company,Raymond & Rado and Partners,Raymond & Rado and Partners,992953,213803,4,90,1038917,1013410006,Turtle Bay-East Midtown,1341,6
M060037,Marlborough,EAST 40 STREET,10016,-73.973343,40.748957,Manhattan,1,Arcade; Plaza,Northwest corner of East 40th Street and Second Avenue,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1973,Completed,Arcade 648.00 sf; Plaza 7505.30 sf,6,NULL,Emery Roth & Sons,Emery Roth & Sons,991636,212143,4,88,1037175,1013140021,Turtle Bay-East Midtown,1314,21
M050005,NULL,PARK AVENUE,10022,-73.969605,40.76254,Manhattan,1,Glass-Enclosed Urban Plaza Equivalent; Open Urban Plaza Equivalent; Sidewalk Widening Equivalent; Through Block Arcade Equivalent,Southeast corner of Park Avenue and East 59th Street,24 Hours,Yes,No,NULL,No,NULL,NULL,Lighting,Yes,Trees within Space,Yes,Full/Partial,1980,Completed,Glass-Enclosed Urban Plaza Equivalent 1450.00 sf; Open Urban Plaza Equivalent 525.00 sf; Sidewalk Widening Equivalent 487.00 sf; Through Block Arcade Equivalent 1540.00 sf,5,NULL,I.M. Pei and Partners,I.M. Pei and Partners,992670,217092,4,112.03,1037164,1013130004,Turtle Bay-East Midtown,1313,4
M080085,Marmara Manhattan,EAST 94 STREET,10128,-73.947598,40.782975,Manhattan,1,Residential Plaza,"Northeast corner of Second Avenue and East 94th Street. Original BBL: 1557/1,4,104.",24 Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Retail Frontage,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1989,Completed,Residential Plaza 3310.54 sf,8,NULL,Liebman Liebman Associates,Liebman Liebman Associates,998762,224540,5,156.01,1050324,1015577502,Yorkville,1557,7502
M040008,St. Luke's-Roosevelt Hospital Center,TENTH AVENUE,10019,-73.986888,40.769696,Manhattan,1,Public Open Space,"Full block bounded by Ninth Avenue, Tenth  Avenue, West 58th Street, and West 59th Street",Restricted Hours,Yes,No,NULL,No,NULL,NULL,Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1990,Completed,Public Open Space 13266.00 sf,4,NULL,"Skidmore Owings & Merrill/Norman Rosenfeld, Buck/Cane","Skidmore Owings & Merrill/Norman Rosenfeld, Buck/Cane",987882,219698,3,145,1082718,1010680001,Lincoln Square,1068,1
M060007,Murray Hill,EAST 34 STREET,10016,-73.980165,40.746892,Manhattan,1,Plaza,North side of East 34th Street between Lexington and Park Avenues,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1980,Completed,Plaza 1330.00 sf,6,NULL,Philip Birnbaum,Philip Birnbaum,989746,211390,2,72,1018517,1008900011,Murray Hill-Kips Bay,890,11
M060023,Whitney,EAST 38 STREET,10016,-73.973221,40.747242,Manhattan,1,Residential Plaza,North side of East 38th Street between First and Second Avenues,24 Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1984,Completed,Residential Plaza 3871.17 sf,6,NULL,Liebman Liebman Associates,Liebman Liebman Associates,991670,211518,4,78,1021933,1009447501,Murray Hill-Kips Bay,944,7501
M050010,Carnegie Mews,WEST 56 STREET,10019,-73.98147,40.765474,Manhattan,1,Plaza,Northeast corner of West 56th Street and Broadway,24 Hours,No,No,NULL,No,NULL,NULL,NULL,No,Planting,Yes,Full/Partial,1976,Completed,Plaza 4773.50 sf,5,Ralph Kern,Philip Birnbaum,Philip Birnbaum,989383,218160,4,137,1024894,1010280017,Midtown-Midtown South,1028,17
M080097,Saratoga,EAST 75 STREET,10021,-73.955251,40.769798,Manhattan,1,Residential Plaza,"Southwest corner of First Avenue and East 75th Street. Original BBL: 1449/26, 1001-2000.",24 Hours,Yes,Yes,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1985,Completed,Residential Plaza 4862.75 sf,8,Sherwood Equities,Schuman Lichtenstein Claman Efron,Quennell Rothschild Associates,996645,219738,5,134,1044935,1014497501,Lenox Hill-Roosevelt Island,1449,7501
M080027,Kingsley,EAST 70 STREET,10021,-73.956792,40.76614,Manhattan,1,Residential Plaza,Southeast corner of First Avenue and East 70th Street,Restricted Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1983,Completed,Residential Plaza 4739.00 sf,8,NULL,Stephen B. Jacobs & Associates,Quennell Rothschild Associates,996219,218405,5,124,1045589,1014647501,Lenox Hill-Roosevelt Island,1464,7501
M010026,2 New York Plaza,BROAD STREET,10004,-74.010607,40.702266,Manhattan,1,Arcade; Plaza,Northeast corner of Broad and South Streets,24 Hours,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Full/Partial,1970,Completed,Arcade 3656.00 sf; Plaza 21009.00 sf,1,Sol G. Atlas and John P. McGrath,Kahn and Jacobs,Kahn and Jacobs,981309,195131,1,9,1000006,1000057501,Battery Park City-Lower Manhattan,5,7501
M080006,NULL,PARK AVENUE,10021,-73.964136,40.770092,Manhattan,1,Arcade; Plaza,Southeast corner of Park Avenue and East 71st Street,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1970,Completed,Arcade 2070.57 sf; Plaza 1760.39 sf,8,733 Park Ave. Co.,Kahn and Jacobs with Harry F. Green,Kahn and Jacobs with Harry F. Green,994184,219844,4,128,1042760,1014050072,Upper East Side-Carnegie Hill,1405,72
M010012,NULL,WALL STREET,10005,-74.006355,40.70491,Manhattan,1,Arcade,Northeast corner of Wall and Front Streets,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1964,Completed,Arcade 3613.00 sf,1,NULL,Emery Roth & Sons,Emery Roth & Sons,982488,196094,1,7,1000872,1000370008,Battery Park City-Lower Manhattan,37,8
M060067,Connaught Tower,EAST 54 STREET,10022,-73.966399,40.756954,Manhattan,1,Park; Plaza,Southeast corner of Second Avenue and East 54th Street,24 Hours; Restricted Hours,Yes,No,NULL,Yes,NULL,NULL,NULL,Yes,Planting; Trees within Space,Yes,Full/Partial,1978,Completed,Park 0.00 sf; Plaza 2354.20 sf,6,NULL,Philip Birnbaum,Philip Birnbaum; Brennan Beer Gorman Architects (for alteration in 2003),993559,215057,4,98,1039846,1013460049,Turtle Bay-East Midtown,1346,49
M050067,NULL,BROADWAY,10001,-73.987874,40.747774,Manhattan,1,Arcade; Plaza,Full blockfront on the east side of Broadway between West 31st and 32nd Streets,24 Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Retail Frontage,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1968,Completed,Arcade 1035.72 sf; Plaza 8562.55 sf,5,"Louis Cooper, Jerry Bregstein","Shreve, Lamb & Harmon","Shreve, Lamb & Harmon",987610,211711,4,76,1015805,1008330011,Midtown-Midtown South,833,11
M080066,Dunhill,EAST 84 STREET,10028,-73.949915,40.775565,Manhattan,1,Open Plaza,"Northeast corner of First Avenue and East 84th Street. Original BLL: 1564/5, 1101-1189.",24 Hours,No,No,NULL,No,NULL,NULL,NULL,No,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1987,Completed,Open Plaza 846.00 sf,8,Ganbir Construction Corp.,Liebman Liebman Associates,Liebman Liebman Associates,998122,221840,5,144.01,1073786,1015647502,Yorkville,1564,7502
M050100,Bertelsmann,BROADWAY,10036,-73.98515,40.758432,Manhattan,1,Through Block Connection,"East side of Broadway between West 45th and West 46th Streets. Original BBL: 998/1001-1005,8.",Restricted Hours,No,No,NULL,No,NULL,NULL,Lighting,Yes,NULL,No,Full/Partial,1999,Completed,Through Block Connection 3012.00 sf,5,Broadway State Partners/Eichner Properties,"Skidmore, Owings & Merrill","Skidmore, Owings & Merrill",988364,215594,4,119,,,Midtown-Midtown South,,
M010044,Bank of New York,WALL STREET,10005,-74.01183,40.707121,Manhattan,1,Plaza,North side of Exchange Place between New Street and Broadway,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1964,Completed,Plaza 4618.50 sf,1,NULL,Voorhees Walker Smith Smith & Haines,Voorhees Walker Smith Smith & Haines,980970,196900,1,7,1000815,1000237501,Battery Park City-Lower Manhattan,23,7501
M050020,La Premiere,WEST 55 STREET,10019,-73.982694,40.764686,Manhattan,1,Residential Plaza,Southwest corner of West 55th Street and Broadway,Restricted Hours,Yes,No,NULL,Yes,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1979,Completed,Residential Plaza 5215.00 sf,5,NULL,Philip Birnbaum,Philip Birnbaum; Elliot Vilkas Architect (for alteration in 2004),989044,217873,3,137,1078861,1010267502,Midtown-Midtown South,1026,7502
M050082,NULL,FIFTH AVENUE,10018,-73.983336,40.750812,Manhattan,1,Urban Plaza,Full blockfront on west side of Fifth Avenue between West 37th and 38th Streets,24 Hours,Yes,No,NULL,No,NULL,NULL,Lighting; Litter Receptacles; Retail Frontage,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1989,Completed,Urban Plaza 3765.00 sf,5,Hammerson Property Corp.,Brennan Beer Gorman,M. Paul Friedberg & Partners,988867,212818,4,84,1081017,1008397501,Midtown-Midtown South,839,7501
M050047,1211 Avenue of the Americas,SIXTH AVENUE,10036,-73.982399,40.758664,Manhattan,1,Plaza; Subway Concourse; Through Block Arcade,West side of Sixth Avenue between West 47th and 48th Streets,24 Hours,No,No,NULL,No,NULL,NULL,Escalator; Lighting; Retail Frontage; Subway,No,NULL,No,Full/Partial,1973,Completed,Plaza 21872.00 sf; Subway Concourse 0.00 sf; Through Block Arcade 5579.27 sf,5,Rockefeller Center Inc,Harrison and Abramovitz,Harrison and Abramovitz,989126,215679,4,125,1022678,1010000029,Midtown-Midtown South,1000,29
M010009,NULL,WATER STREET,10038,-74.005544,40.706996,Manhattan,1,Arcade; Plaza,Full blockfront on south side of John Street between Water and Pearl Streets,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1969,Completed,Arcade 2404.41 sf; Plaza 3949.00 sf,1,Theodore Locker,Emery Roth & Sons,Emery Roth & Sons,982713,196854,1,15.02,1001134,1000700032,Battery Park City-Lower Manhattan,70,32
K020008,Avalon Fort Greene,GOLD STREET,11201,-73.982885,40.694078,Brooklyn,3,Residential Plaza,North of Myrtle Avenue between Flatbush Avenue Extension and Prince Street,24 Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space,Yes,Unknown,2008,Completed,Residential Plaza 17475.00 sf,2,"Avalon Bay Communities, Inc.",Perkins Eastman,Moss Gilday Group,988996,192148,35,15,3393888,3020490002,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2049,2
M020003,Saatchi & Saatchi,HUDSON STREET,10014,-74.007923,40.728482,Manhattan,1,Arcade; Plaza,"Full block bounded by Hudson, Greenwich, King Streets, and West Houston Streets",24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1987,Completed,Arcade 2454.30 sf; Plaza 13163.87 sf,2,NULL,Lee Harris Pomeroy Associates/Emery Roth & Sons,Lee Harris Pomeroy Associates/Emery Roth & Sons,982054,204682,3,37,1010379,1005990064,SoHo-TriBeCa-Civic Center-Little Italy,599,64
M070019,Regent,WEST 60 STREET,10023,-73.983711,40.769943,Manhattan,1,Residential Plaza,Northeast corner of Columbus Avenue and West 60th Street,24 Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1982,Completed,Residential Plaza 9256.43 sf,7,NULL,Horace Ginsbern,Horace Ginsbern,988762,219788,3,145,1027187,1011130001,Lincoln Square,1113,1
M050026,NULL,SIXTH AVENUE,10019,-73.978475,40.761966,Manhattan,1,Plaza,East side of Sixth Avenue between West 53rd and 54th Streets,24 Hours,Yes,No,NULL,Yes,NULL,NULL,Lighting; Litter Receptacles; Retail Frontage,Yes,Planting,Yes,Full/Partial,1965,Completed,Plaza 6312.00 sf,5,NULL,Emery Roth & Sons,"Emery Roth & Sons; Moed de Armas & Shannon Architects, P.C. (for alteration in 2012)",990213,216882,4,104,1034522,1012690001,Midtown-Midtown South,1269,1
M010047,Millenium Hilton Hotel,CHURCH STREET,10007,-74.010244,40.71114,Manhattan,1,Sidewalk Widening; Urban Plaza,East side of Church Street between Dey and Fulton Streets,24 Hours,Yes,No,NULL,No,NULL,NULL,Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1991,Completed,Sidewalk Widening 604.10 sf; Urban Plaza 4803.60 sf,1,Kalikow Realty,Eli Attia Architects,Eli Attia Architects; Stonehill and Taylor Architects and Planners (for alteration in 2005),981410,198364,1,13,1075702,1000800004,Battery Park City-Lower Manhattan,80,4
Q020001,Citicorp at Court Square,COURT SQUARE,11101,-73.944064,40.747058,Queens,4,Landscaped Public Open Space; Pedestrian Circulation Space,"Block bounded by Jackson Avenue, 45th Avenue, 23rd Street, and 44th Drive",24 Hours,No,No,NULL,No,NULL,NULL,Escalator; Subway,No,Trees on Street; Trees within Space,Yes,Full/Partial,1989,Completed,Landscaped Public Open Space 0.00 sf; Pedestrian Circulation Space 0.00 sf,2,NULL,"Skidmore, Owings & Merrill","Skidmore, Owings & Merrill",999749,211455,26,19,4307108,4000790030,Hunters Point-Sunnyside-West Maspeth,79,30
M060041,NULL,THIRD AVENUE,10017,-73.973331,40.751581,Manhattan,1,Augmented Sidewalk; Vest Pocket Park,East side of Third Avenue between East 43rd and 44th Streets,24 Hours; Restricted Hours,Yes,Yes,Yes,No,NULL,NULL,Food Service; Lighting,No,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1975,Completed,Augmented Sidewalk 570.00 sf; Vest Pocket Park 4000.00 sf,6,American Home Products Corporation,Emery Roth & Sons,Emery Roth & Sons,991639,213099,4,88,1037555,1013170001,Turtle Bay-East Midtown,1317,1
M060055,NULL,THIRD AVENUE,10022,-73.968777,40.757885,Manhattan,1,Pedestrian Circulation Space,East side of Third Avenue between East 53rd and 54th Streets,24 Hours,No,No,NULL,No,NULL,NULL,Lighting; Subway,Yes,Planting; Trees on Street,Yes,Full/Partial,1985,Completed,Pedestrian Circulation Space 0.00 sf,6,Gerald Hines,John Burgee Architects with Philip Johnson,John Burgee Architects with Philip Johnson,992900,215396,4,98,1038549,1013270001,Turtle Bay-East Midtown,1327,1
M060011,Park Towers Medical Plaza,EAST 17 STREET,10003,-73.985267,40.735365,Manhattan,1,Plaza,East side of Third Avenue between East 17th and 18th Streets,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1973,Completed,Plaza 7738.14 sf,6,NULL,Philip Birnbaum,Philip Birnbaum,988333,207190,2,48,1019551,1008980001,Gramercy,898,1
M060085,Future,EAST 32 STREET,10016,-73.97896,40.744021,Manhattan,1,Residential Plaza,East side of Third Avenue between East 31st and 32nd Streets,24 Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1992,Completed,Residential Plaza 5755.35 sf,6,NULL,Costas Kondylis,Costas Kondylis,990080,210344,2,70,1077352,1009127502,Murray Hill-Kips Bay,912,7502
R010001,NY Wheel,RICHMOND TERRACE,10301,-74.078641,40.647158,Staten Island,5,NULL,Observation wheel and parking garage on northern commuter lot at the St. George ferry terminal.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,None,0,NULL,NULL,1,NULL,Perkins Eastman,MPFP,962427,175063,49,7,5516463,5000020022,West New Brighton-New Brighton-St. George,2,22
M080059,Corniche,EAST 87 STREET,10128,-73.950797,40.77861,Manhattan,1,Plaza,Northeast corner of Second Avenue and East 87th Street,24 Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Litter Receptacles,Yes,Planting,Yes,Full/Partial,1974,Completed,Plaza 3357.00 sf,8,NULL,Philip Birnbaum,Philip Birnbaum,997877,222949,5,146.02,1050044,1015500001,Yorkville,1550,1
M040001,BMW,WEST 57 STREET,10019,-73.990491,40.770402,Manhattan,1,Arcade; Plaza,Full blockfront on east side of Eleventh Avenue between West 57th and 58th Streets,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1971,Completed,Arcade 9061.00 sf; Plaza 14359.00 sf,4,NULL,Eggers and Higgins,Eggers and Higgins,986884,219955,6,135,1027072,1010867502,Clinton,1086,7502
M060019,Highpoint,EAST 40 STREET,10016,-73.973654,40.74854,Manhattan,1,Residential Plaza,Southwest corner of East 40th Street and Second Avenue,24 Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space; Water Feature,Yes,Full/Partial,1988,Completed,Residential Plaza 6427.00 sf,6,NULL,"Wechsler, Grasso, Menziuso","Wechsler, Grasso, Menziuso",991550,211991,4,88,1076162,1009207501,Turtle Bay-East Midtown,920,7501
M070015,30 Lincoln Plaza,BROADWAY,10023,-73.981573,40.770769,Manhattan,1,Covered Plaza; Landscaped Plaza; Mandatory Arcade; Special Permit Arcade,East side of Broadway between West 62nd and 63rd Streets,24 Hours; Restricted Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Lighting; Litter Receptacles; Retail Frontage,Yes,Planting; Trees on Street; Trees within Space; Water Feature,Yes,Full/Partial,1978,Completed,Covered Plaza 2386.25 sf; Landscaped Plaza 14385.17 sf; Mandatory Arcade 3492.61 sf; Special Permit Arcade 1000.00 sf,7,Lincoln Plaza Associates South/Milstein,Philip Birnbaum,M. Paul Friedberg,989354,220089,6,149,1027463,1011157503,Lincoln Square,1115,7503
M050060,Bell Atlantic,SIXTH AVENUE,10036,-73.985006,40.754754,Manhattan,1,Special Permit Plaza; Subway Concourse,Full blockfront on west side of Sixth Avenue between West 41st and 42nd Streets,24 Hours,Yes,Yes,NULL,Yes,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Programs; Subway,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1971,Completed,Special Permit Plaza 17034.18 sf; Subway Concourse 0.00 sf,5,New York Telephone Co.,Kahn and Jacobs,Kahn and Jacobs; Bonsignore Brignati & Mazzotta (for alteration in 1989); Moed de Armas & Shannon (for alteration in 2010),988404,214254,4,113,1087119,1009947501,Midtown-Midtown South,994,7501
M080002,Trump Plaza,EAST 61 STREET,10065,-73.965768,40.763253,Manhattan,1,Residential Plaza,Full blockfront of west side of Third Avenue between East 61st and 62nd Streets,Restricted Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space; Water Feature,Yes,Full/Partial,1983,Completed,Residential Plaza 7319.54 sf,8,Donald J. Trump,Frank Williams/Philip Birnbaum,Thomas Balsley,993733,217352,4,114.02,1041986,1013960033,Upper East Side-Carnegie Hill,1396,33
M080021,Rio,EAST 65 STREET,10065,-73.961461,40.763976,Manhattan,1,Residential Plaza,Southeast corner of Second Avenue and East 65th Street,Restricted Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space; Water Feature,Yes,Full/Partial,1987,Completed,Residential Plaza 4054.00 sf,8,Vector Real Estate Group,The Gruzen Partnership,Thomas Balsley Associates; Langan (2018 Redesign),994926,217616,5,118,1072488,1014397501,Lenox Hill-Roosevelt Island,1439,7501
M010022,45 Broadway Atrium,BROADWAY,10006,-74.013266,40.706542,Manhattan,1,Arcade; Shopping Arcade,West side of Broadway between Morris Street and Exchange Alley,24 Hours,No,No,NULL,No,NULL,NULL,Escalator; Subway,No,NULL,No,Full/Partial,1983,Completed,Arcade 1983.00 sf; Shopping Arcade 81.68 sf,1,"HRO International, Ltd.",Fox and Fowle,Fox and Fowle,980572,196689,1,13,1000804,1000200009,Battery Park City-Lower Manhattan,20,9
M050078,Saks Tower,FIFTH AVENUE,10022,-73.976816,40.757966,Manhattan,1,Building Entrance Recess Area; Special Permit Pedestrian Circulation Sp,East side of Fifth Avenue between East 49th and 50th Streets,24 Hours,Yes,No,NULL,No,NULL,NULL,Lighting,Yes,Planting,Yes,Full/Partial,1990,Completed,Building Entrance Recess Area 174.00 sf; Special Permit Pedestrian Circulation Sp 930.00 sf,5,Saks Fifth Avenue/Swiss Bank Corp.,Lee Harris Pomeroy,Lee Harris Pomeroy,990673,215425,4,102,1081145,1012857501,Midtown-Midtown South,1285,7501
M060074,River Tower,EAST 54 STREET,10022,-73.96353,40.755676,Manhattan,1,Residential Plaza,South side of East 54th Street between Sutton Place South and First Avenue,24 Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1982,Completed,Residential Plaza 12673.31 sf,6,Harry Macklowe,"Schuman, Lichenstein, Claman, Efron","Schuman, Lichenstein, Claman, Efron; Mathew Nielsen Landscape Architects (2018 Design Change)",994354,214592,4,86.03,1040158,1013650009,Turtle Bay-East Midtown,1365,9
M050054,NULL,SIXTH AVENUE,10036,-73.98336,40.756672,Manhattan,1,Arcade; Sidewalk Widening; Urban Plaza,Full blockfront on west side of Sixth Avenue between West 44th and 45th Streets,24 Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Retail Frontage,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1983,Completed,Arcade 1460.00 sf; Sidewalk Widening 3714.00 sf; Urban Plaza 4258.00 sf,5,Durst Building Corporation,Emery Roth & Sons,Emery Roth & Sons; Thomas Balsley Associates; Fox & Fowle Architects (for alteration in 2003); STUDIOS Architecture (for 2016 design change),988860,214953,4,119,1022631,1009970029,Midtown-Midtown South,997,29
M010016,NULL,WATER STREET,10005,-74.008198,40.704226,Manhattan,1,Arcade; Plaza,"Full block bounded by Front Street, Water Street, Old Slip, and Gouverneur Lane",24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1970,Completed,Arcade 10335.00 sf; Plaza 4956.00 sf,1,NULL,Emery Roth & Sons,Emery Roth & Sons,981977,195845,1,7,1000863,1000330001,Battery Park City-Lower Manhattan,33,1
M010040,NULL,MAIDEN LANE,10038,-74.007982,40.708659,Manhattan,1,Arcade; Plaza,North corner of Maiden Lane and William Street,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1965,Completed,Arcade 4904.00 sf; Plaza 27700.87 sf,1,The Home Insurance Company,Alfred Easton Poor Architects,Alfred Easton Poor Architects; Kohn Pedersen Fox (for alteration),982037,197460,1,15.02,1079043,1000670001,Battery Park City-Lower Manhattan,67,1
M050104,Morgan Stanley Building,BROADWAY,10036,-73.985507,40.759977,Manhattan,1,Through Block Connection,West side of Broadway between West 47th Street and West 48th Street,Restricted Hours,No,No,NULL,No,NULL,NULL,Lighting,Yes,NULL,No,None,1989,Completed,NULL,5,NULL,Gwathmey Siegel & Associates Architects/Emery Roth & Sons,NULL,988265,216157,3,125,1076193,1010197502,Midtown-Midtown South,1019,7502
M050094,Stanford,EAST 25 STREET,10010,-73.986164,40.742024,Manhattan,1,Plaza,North side of East 25th Street between Park Avenue South and Madison Avenue,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1986,Completed,Plaza 2000.40 sf,5,NULL,Liebman Liebman Associates,Liebman Liebman Associates,988084,209616,2,56,1016750,1008557501,Hudson Yards-Chelsea-Flatiron-Union Square,855,7501
M010005,NULL,BROADWAY,10005,-74.010117,40.70865,Manhattan,1,Plaza,"Full block bounded by Nassau, Broadway, Cedar Street, and Liberty Street",24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1965,Completed,Plaza 15924.30 sf,1,Harry Helmsley,"Skidmore, Owings & Merrill","Skidmore, Owings & Merrill; Alta Planning & Design (for alteration in 2012)",981445,197457,1,7,1001027,1000480001,Battery Park City-Lower Manhattan,48,1
M060086,Gilman Hall,EAST 17 STREET,10003,-73.981432,40.733602,Manhattan,1,Plaza,Northwest corner of First Avenue and East 17th Street,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1969,Completed,Plaza 3080.00 sf,6,NULL,Schuman & Lichtenstein,Schuman & Lichtenstein,989396,206548,2,48,1020438,1009237501,Gramercy,923,7501
M080102,Cornell Tech,WEST LOOP ROAD,10044,-73.956228,40.755487,Manhattan,1,Public Access Area,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,8,NULL,SOM,James Corner Field Operations,996377,214524,5,238.01,1090299,1013730035,Lenox Hill-Roosevelt Island,1373,35
M080008,Savoy,EAST 61 STREET,10065,-73.965591,40.762366,Manhattan,1,Residential Plaza,Full blockfront on east side of Third Avenue between East 60th and 61st Streets,Restricted Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1985,Completed,Residential Plaza 5190.76 sf,8,NULL,Philip Birnbaum,Thomas Balsley Associates,993782,217029,4,110,1043547,1014157501,Lenox Hill-Roosevelt Island,1415,7501
